User---------------------------------------------------------------------------------------
	Log Codes Supported by QCAT 06.30.93 patch 01
0x11BC	QTV RTSP Get Parameter
0x11BD	QTV RTSP Set Parameter
0x11BE	Reserved
0x11BF	Reserved
0x11C1	QTV Cmd Logging
0x11C2	Reserved
0x11C3	QTV Video Frame Decode Information
0x11C4	QTV RTCP Compound RR
0x11C5	Reserved
0x11C6	Reserved
0x11C7	QTV RTP Entire Decrypted Packet
0x11C8	Reserved
0x11E1	GPS PDSM Position Report Callback
0x11E2	GPS PDSM PD Event Callback
0x11E3	GPS PDSM PA Event Callback
0x11E4	GPS PDSM Notify Verify Request
0x11E5	Reserved
0x11E6	GPS PDSM Reserved 2
0x11E9	GPS MS MPC Forward Link
0x11EA	GPS MS MPC Reverse Link
0x11EB	Data Protocol Logging
0x11EC	Reserved
0x11ED	Reserved
0x11EE	Reserved
0x11EF	MFLO MLC Location Dynamic Params
0x11F0	Reserved
0x11F1	Reserved
0x11F2	Reserved
0x11F3	Reserved
0x11F4	Reserved
0x11F5	MFLO RSSI Value Dynamic Params
0x11F6	MFLO Code Block Erasure Info Dynamic Params
0x11F7	Reserved
0x11F8	MFLO Wide Local Dynamic Params
0x11F9	MFLO MLC PLP Stats per Frame Prers Params
0x11FA	MFLO OIS PLPs Statistics Dynamic Params
0x11FB	Reserved
0x11FC	MFLO OIS Info Static Params
0x11FD	Reserved
0x11FE	Reserved
0x11FF	MFLO Stream Layer Header Info Static Params
0x1200	MFLO MAC Layer Header Info Static Params
0x1201	Reserved
0x1202	Reserved
0x1203	Reserved
0x1204	Reserved
0x1205	Reserved
0x1206	Reserved
0x1207	Reserved
0x1208	Reserved
0x1209	Reserved
0x120A	MFLO Bound Stream List Params
0x120B	MFLO MLC PLP Stats Post Params
0x120C	MFLO FTAP Packet Record Header Params
0x120D	MFLO FTAP Packet Record Params
0x120E	MFLO FTAP WOIS Params
0x120F	MFLO FTAP LOIS Params
0x1210	MFLO FTAP WID LID Params
0x1211	MFLO OIS PLPs Statistics Dynamic Params Ver2
0x1212	MFLO OIS Info Static Params Ver2
0x1213	MFLO MLC PLP Stats Post Params Ver2
0x1214	MFLO MLC Location Dynamic Params Ver2
0x1215	MFLO Bound Stream List Params Ver2
0x1216	MFLO Stream Layer Header Info Static Params
0x1218	Reserved
0x1219	MFLO Stream PLP Stats
0x121A	Reserved
0x121B	Reserved
0x121C	Reserved
0x121D	Reserved
0x121E	Reserved
0x121F	Reserved
0x1220	Reserved
0x1221	Reserved
0x1222	Reserved
0x1223	Reserved
0x1224	Reserved
0x1225	Reserved
0x1226	Reserved
0x1227	Reserved
0x1228	Reserved
0x1229	Reserved
0x122A	MFLO UBM Wide Local Dynamic params
0x122B	Reserved
0x122C	Reserved
0x122D	Reserved
0x122E	Reserved
0x122F	Reserved
0x1230	Reserved
0x1231	Reserved
0x1232	Reserved
0x1233	Reserved
0x1234	Reserved
0x1235	Reserved
0x1236	Reserved
0x1237	Reserved
0x1238	Reserved
0x1239	Reserved
0x123A	MFLO UBM2 DSP Channel Estimates
0x123B	Reserved
0x123C	Reserved
0x123D	MFLO Superframe Error Rate (SFER)
0x1241	Interference Estimation Based On TPC
0x1250	GPS Demodulation Tracking Header
0x1251	GPS Demodulation Tracking Results
0x1252	GPS Demodulation Bit Edge
0x1253	GPS Demodulation Soft Decisions
0x1254	GPS Post-Processed Demodulation Tracking Results
0x1255	GPS Demodulation Subframe
0x1273	CM Phone Event
0x1275	1xEV Multi RLP Rev Statistics
0x1276	1xEV Multi RLP Fwd Statistics
0x1277	1xEV Rx Partial MultiRLP Packet
0x1278	1xEV Tx Partial MultiRLP Packet
0x1279	1xEV Equalizer Data Log Packet
0x127A	1xEV Equalizer C/I log Packet
0x127C	1xEV Searcher Data Version 3
0x127D	1xEV Rev-A RL Gains
0x127E	1xEV Rev-A RL Metrics
0x127F	1xEV Rev-A T2P Resource Info
0x1280	1xEV Rev-A RMAC3 Packet Info
0x1281	1xEV Rev-A RAB Update Info
0x1282	1xEV Rev-A DRC-ARQ-DSC Buffer
0x1283	1xEV Rev-A MUP User Statistics
0x1284	1xEV Rev-A Fwd Link Packet Header Info
0x1285	1xEV Rev-A RL ARQ Status
0x1286	1xEV Rev-A RL Packet Status
0x1289	1xEV Rev-A PCP Packet Statistics
0x128A	Subtype Stream Config
0x128B	1xEV Rev-A Route Update Trigger Code List
0x128C	1x EV Enhanced Multi RLP Fwd Stats
0x128D	1x EV Enhanced Multi RLP Rev Stats
0x128E	1x EV Rx Partial Enhanced Multi RLP Packet
0x128F	1x EV Tx Partial Enhanced Multi RLP Packet
0x1290	Reserved
0x1291	1xEV-DO Platinum Multicast Timing Synchronization
0x1292	1x EV Enhanced Access Attempt
0x1293	1x EV Access Probe
0x1294	1xEV-DO Multi Carrier Forward Link Packet Header Information
0x1295	Reserved
0x1296	1xEV-DO Multi Carrier Air Link Summary
0x1297	1xEV-DO Multi Carrier Searcher Data
0x1298	1xEV-DO Multi Carrier DRC ARQ DSC Buffer
0x1299	1xEV-DO Multi Carrier RMAC4 T2P Resource
0x129A	1xEV-DO Multi Carrier RMAC4 Packet Information
0x129B	Reserved
0x129C	1xEV-DO Multi Carrier Power
0x129D	1xEV-DO Multi Carrier Reverse Link Gains
0x129E	1xEV-DO Multi Carrier Reverse Link ARQ Status
0x129F	1xEV-DO Multi Carrier Reverse Link Metrics
0x12A0	1xEV-DO Multi Carrier RAB Update Information
0x12A1	1xEV-DO Multi Carrier Pilot Sets
0x12A2	1xEV-DO Multi Carrier Single User Packet Forward Statistics
0x12A3	1xEV-DO Multi Carrier Multiple User Forward Statistics
0x12A4	HDR Enh Sleep Info
0x12A5	HDR Multi Link MRLP Fwd Stats
0x12A6	HDR Multi Link MRLP Rev Stats
0x12A7	HDR Multi Link MRLP Partial Rx
0x12A8	HDR Multi Link MRLP Partial Tx
0x12A9	HDR Multi Link MRLP Rx Processing
0x12AA	1xEV-DO Multi Carrier Reverse Link Packet Status
0x12AB	1xEV-DO Multi Carrier Equalizer C/I
0x12AC	Reserved
